permit number,description,building type,completed date
6780119-CN,"Change use and construct alterations to add two dwelling units in a residential building, occupy per plan.",Multifamily,2021-10-28T00:00:00.000
6641945-CN,Rebuild garage in existing footprint.,Single Family/Duplex,2021-10-28T00:00:00.000
6800301-CN,"Construct East Middle SFR, per plans.  (Establish use as and construct (4) single-family residences, per plans.  Reviews and processing for (4) CN's under 6787596).",Single Family/Duplex,2021-10-27T00:00:00.000
6800303-CN,"Construct East SFR, per plans.  (Establish use as and construct (4) single-family residences, per plans.  Reviews and processing for (4) CN's under 6787596).",Single Family/Duplex,2021-10-27T00:00:00.000
6800290-CN,"Construct West-Middle SFR, per plans.  (Establish use as and construct (4) single-family residences, per plans.  Reviews and processing for (4) CN's under 6787596).",Single Family/Duplex,2021-10-27T00:00:00.000
6852389-CN,"Construct new garage, per STFI",Single Family/Duplex,2021-10-27T00:00:00.000
6606301-CN,"Establish use as and construct a townhouse building, per plans",Multifamily,2021-10-26T00:00:00.000
6621105-CN,"Establish use as townhouse and construct new duplex, per plan.",Single Family/Duplex,2021-10-26T00:00:00.000
6760308-CN,"Establish use as townhouse and construct new duplex, existing garage to be removed, per plan.",Single Family/Duplex,2021-10-22T00:00:00.000
6786734-CN,"Construct northwest single family residence (Establish use as and construct (2) single family residences with (2) detached accessory dwelling units, & (1) single family residence, per plan.  Review and process (3) records under 6786734-CN).",Single Family/Duplex,2021-10-22T00:00:00.000
6732117-CN,"Construct north 3-unit townhouse, per plan. (Establish use and construct 2 3-unit townhouses.  Review and processing for 2 records under #6732117-CN)",Multifamily,2021-10-22T00:00:00.000
