permit number,description,building type,completed date
6673530-CN,"Establish use as and construct a townhouse structure with attached garages, per plan.",Multifamily,2020-10-09T00:00:00.000
6724784-CN,"Construct detached garage accessory to existing single family residence, per plan.",Single Family/Duplex,2020-10-07T00:00:00.000
6667975-CN,"Establish use as and construct single family residence, per plan",Single Family/Duplex,2020-10-07T00:00:00.000
6582863-CN,"Construct 4-unit townhouse, per plans.  (Establish use as rowhouses and construct one 4-unit townhouse and one 2-unit multi-family structure with garage.  Reviews and processing for 2 A/Ps under 6582863)",Multifamily,2020-10-07T00:00:00.000
6571086-CN,"Establish use as and construct a single-family residence with attached garage, per plan.",Single Family/Duplex,2020-10-07T00:00:00.000
6674861-CN,"Establish use as rowhouse and construct a townhouse building, per plan.",Multifamily,2020-10-06T00:00:00.000
6695446-CN,"Establish use as and construct a single-family residence with attached garage, per plan.",Single Family/Duplex,2020-10-05T00:00:00.000
6792832-CN,"Remove and replace deck to a single-family residence, subject to field inspection (STFI).",Single Family/Duplex,2020-10-01T00:00:00.000
6687395-CN,"Establish use as row house and construct a townhouse structure with surface parking, per plan.",Single Family/Duplex,2020-10-01T00:00:00.000
6753855-CN,"Establish use as and construct single family residence with attached garage, per plan",Single Family/Duplex,2020-09-30T00:00:00.000
6708954-CN,"Establish use as and construct new single family residence with attached garage, per plan.",Single Family/Duplex,2020-09-30T00:00:00.000
6725154-CN,"Construct South Townhouse building, per plan (Establish use as and construct (2) townhouse buildings, review and process for 2 CN's under 6720754-CN)",Multifamily,2020-09-30T00:00:00.000
6713407-CN,"Establish use as and construct a single-family residence and a detached accessory dwelling unit, per plans",Single Family/Duplex,2020-09-30T00:00:00.000
6713155-CN,"Establish use as and construct new single family residence and convert existing single family residence into attached accessory dwelling unit (related work under STFI permit #6714396-CN), per plan.",Single Family/Duplex,2020-09-30T00:00:00.000
6720754-CN,"Construct NorthTownhouse building, per plan (Establish use as and construct (2) townhouse buildings, review and process for 2 CN's under 6720754-CN)",Multifamily,2020-09-30T00:00:00.000
6739475-CN,"Establish use as and construct as single-family residence with attached garage, per plan.",Single Family/Duplex,2020-09-29T00:00:00.000
6708753-CN,"Establish use as and construct single family residence, per plan.",Single Family/Duplex,2020-09-29T00:00:00.000
6732333-CN,"Construct middle SFR 2, per plans (Establish use as and construct three single-family residences per plans, Reviews and processing for 3 C/N's under 6728746)",Single Family/Duplex,2020-09-25T00:00:00.000
6670342-CN,"Establish use as and construct a single family residence with attached garage, per plans.",Single Family/Duplex,2020-09-25T00:00:00.000
6639490-CN,"Construct a detached accessory dwelling unit for a single family residence, per plan.",Single Family/Duplex,2020-09-25T00:00:00.000
6651471-CN,"Establish use as and construct new single family residence with detached accessory dwelling unit (DADU), per plan.",Single Family/Duplex,2020-09-23T00:00:00.000
6651470-CN,"Establish use and construct a single family dwelling with a detached accessory dwelling unit, per plan.",Single Family/Duplex,2020-09-23T00:00:00.000
6693199-CN,"Construct EAST townhouse building, per plan (Establish use as and construct east and west townhouse residences; review and process for to records under 6693199-CN).",Multifamily,2020-09-18T00:00:00.000
6608460-CN,"Construct East single family residence, per plan. (Establish use as and construct (3) single family residences with surface parking, per plan. Review and process under 3 AP's under 6584339",Single Family/Duplex,2020-09-18T00:00:00.000
6608461-CN,"Construct North single family residence, per plan. (Establish use as and construct (3) single family residences with surface parking, per plan. Review and process under 3 AP's under 6584339",Single Family/Duplex,2020-09-18T00:00:00.000
6584337-CN,"Establish use as rowhouses and construct a townhouse building, Parcel A, per plans",Multifamily,2020-09-18T00:00:00.000
6584339-CN,"Construct WEST single family residence, per plan. (Establish use as and construct west, east and north single family residences with surface parking, per plan. Review and process for 3 AP's under 6584339",Single Family/Duplex,2020-09-18T00:00:00.000
6707974-CN,"Construct West bldg. per plans. (Establish use as multi-family and construct 2 townhouse buildings, per plans. Reviews and processing for 2 C/N's under 6654610)",Multifamily,2020-09-17T00:00:00.000
6622979-CN,"Construct single family residence with surface parking, per plan. (Establish use as single family residence and duplex and construct 1 single family dwelling and 1 duplex. Review & process for 2 AP's under AP# 6622979.)",Single Family/Duplex,2020-09-17T00:00:00.000
6693987-CN,"Construct East single family residence #1, per plan. (Establish use as and construct 2 new single-family residences with attached garages. Review and process for 2 record numbers under 6693987-CN)",Single Family/Duplex,2020-09-16T00:00:00.000
6694868-CN,"Construct East single family residence (SFR2), per plan. (Establish use as and construct 2 new single family residences, per plan. Review & process for 2 records under permit #6686556-CN).",Single Family/Duplex,2020-09-16T00:00:00.000
6725615-CN,"Establish use as and construct single family residence with attached garage, per plan. (Establish Standard Plan, 1st review done under 6734875-CN)",Single Family/Duplex,2020-09-16T00:00:00.000
6445279-CN,"Establish use as single family residence and construct one family dwelling with detached accessory dwelling unit and garage, per plans.",Single Family/Duplex,2020-09-16T00:00:00.000
6637989-CN,"Establish use as townhouses and construct a two-family dwelling, per plans.",Single Family/Duplex,2020-09-15T00:00:00.000
6726406-CN,"Construct West single family residence #2, per plan. (Establish use as and construct 2 new single-family residences with attached garages. Review and process for 2 record numbers under 6693987-CN)",Single Family/Duplex,2020-09-14T00:00:00.000
6691241-CN,"Establish use and construct west single-family residence, per plan. [Establish use and Construct new single-family residence, and Construct alterations to convert existing duplex into a single-family residence with accessory dwelling unit (ADU), per plan. Review and processing for (2) construction records under 6691241-CN.]",Single Family/Duplex,2020-09-14T00:00:00.000
6629643-CN,"Establish use as and construct single family residence with attached garage, per plan.",Single Family/Duplex,2020-09-14T00:00:00.000
6582052-CN,"Establish use as and construct new single family residence, per plan.",Single Family/Duplex,2020-09-14T00:00:00.000
6782540-CN,"Remove detached garage and construct new detached garage to a single-family residence, subject to field inspection (STFI).",Single Family/Duplex,2020-09-11T00:00:00.000
6573427-CN,"Establish use as single family residence and construct single family dwelling on existing and new foundation, per plan.",Single Family/Duplex,2020-09-11T00:00:00.000
6552146-CN,"Remove existing swimming pool and establish use as and construct new single family residence with detached accessory dwelling unit (DADU) above detached garage, per plan.",Single Family/Duplex,2020-09-11T00:00:00.000
6712225-CN,"Construct East duplex, per plan. (Establish use as and construct 2 duplexes. Review and process for two records under 6698139-CN).",Single Family/Duplex,2020-09-10T00:00:00.000
6742714-CN,"Establish use as and construct single family residence, per plan.",Single Family/Duplex,2020-09-10T00:00:00.000
6708679-CN,"Establish use as and construct single family residence, per plan.",Single Family/Duplex,2020-09-10T00:00:00.000
6732334-CN,"Construct north SFR 3, per plans. (Establish use as and construct three single-family residences per plans, Reviews and processing for 3 C/N's under 6728746)",Single Family/Duplex,2020-09-10T00:00:00.000
6618874-CN,"Establish use as and construct single family residence with attached garage, per plan.",Single Family/Duplex,2020-09-10T00:00:00.000
6704072-CN,"Construct detached accessory garage/habitable spaces accessory to existing single family residence, per plan.",Single Family/Duplex,2020-09-04T00:00:00.000
6622997-CN,"Establish use as rowhouses and construct 7-unit townhouse, per plans.",Multifamily,2020-09-03T00:00:00.000
6582649-CN,"Construct east single family dwelling with attached garage, per plan. (Establish use as single family residence and construct 3 single family dwellings / review and process for 3 AP's under # 6582649).",Single Family/Duplex,2020-09-03T00:00:00.000
6628274-CN,"Establish use as rowhouse and construct a townhouse building, per plan.",Multifamily,2020-09-02T00:00:00.000
6789547-CN,"Alterations for new half bathroom on main floor of single family residence, subject to field inspection.",Single Family/Duplex,2020-09-01T00:00:00.000
6696413-CN,"Construct East single family residence, per plan. [Establish use and construct (1) new 3-unit townhouse and (1) new single-family residence, per plan. Review and process for (2) Construction Records under 6668985-CN.]",Single Family/Duplex,2020-08-31T00:00:00.000
6507597-CN,"Construct detached accessory dwelling unit, legalize enclosure of former garage in main residence and demolition of existing porch, per plan.",Single Family/Duplex,2020-08-31T00:00:00.000
6696641-CN,"Establish use as and construct single family residence, per plan.",Single Family/Duplex,2020-08-28T00:00:00.000
6692075-CN,"Establish use as and construct a single-family residence, per plans",Single Family/Duplex,2020-08-28T00:00:00.000
6637935-CN,"Establish use as townhouse and construct new duplex, per plan.",Single Family/Duplex,2020-08-28T00:00:00.000
6632651-CN,Construct new townhouse (north) and occupy per plan.(Establish use as and construct one new apartment and 1 new townhouse and processing of 2 AP's under 6554864.),Multifamily,2020-08-28T00:00:00.000
6668511-CN,"Construct duplex, per plans.  (Establish use as single family residence and townhouses and construct single family residence and duplex.  Reviews and processing for 2 construction records under 6622917-CN)",Single Family/Duplex,2020-08-28T00:00:00.000
6676109-CN,"Construct new West townhouse structure, per plan. (Establish use as and construct 2 new townhouse structures with attached parking, per plan. Review & process for 2 records under permit #6676109-CN).",Multifamily,2020-08-28T00:00:00.000
6637943-CN,"Establish use as rowhouse and construct two-family dwelling, per plan.",Single Family/Duplex,2020-08-28T00:00:00.000
6554864-CN,Construct new apartment building (south) and occupy per plan. Primary.(Establish use as and construct one new apartment and 1 new townhouse and processing of 2 AP's under 6554864.),Multifamily,2020-08-28T00:00:00.000
6698139-CN,"Construct West duplex, per plan (Establish use as and construct 2 duplexes. Review and process for two records under 6698139-CN).",Single Family/Duplex,2020-08-27T00:00:00.000
6713512-CN,"Establish use as and construct a single-family residence, per plans",Single Family/Duplex,2020-08-25T00:00:00.000
6650942-CN,"Construct center single family dwelling, per plan. (Establish use as single family residence and construct 3 single family dwellings/ review and process for 3 AP's under # 6628130.)",Single Family/Duplex,2020-08-25T00:00:00.000
6628130-CN,"Construct west single family dwelling, per plan. (Establish use as single family residence and construct 3 single family dwellings/ review and process for 3 AP's under # 6628130.)",Single Family/Duplex,2020-08-25T00:00:00.000
6699372-CN,"Construct new East duplex structure Bldg B, per plan. (Establish use as rowhouse and construct 1 new townhouse structure and 1 duplex structure, per plan.  Review & process for 2 records under permit #6694572-CN)",Multifamily,2020-08-24T00:00:00.000
6694572-CN,"Construct new West townhouse structure Bldg A, per plan. (Establish use as rowhouse and construct 1 new townhouse structure and 1 duplex structure, per plan.  Review & process for 2 records under permit #6694572-CN)",Multifamily,2020-08-24T00:00:00.000
6683869-CN,"Construct East duplex, per plan.  (Establish use as townhouse and construct 2 duplexes.  Review & process for 2 records under 6683869-CN).",Single Family/Duplex,2020-08-24T00:00:00.000
6708509-CN,"Establish use as and construct a single-family residence with detached accessory dwelling unit, DADU, per plan. (Establish Standard Plan, 2nd review done under 6708758-CN) Existing detached garage to be removed.",Single Family/Duplex,2020-08-21T00:00:00.000
6696501-CN,"Construct east duplex, per plan. (Establish use as townhouse and construct 3 duplexes, per plan. Review & process for 3 records under #6677606-CN).",Multifamily,2020-08-20T00:00:00.000
6696499-CN,"Construct middle duplex, per plan. (Establish use as townhouse and construct 3 duplexes, per plan. Review & process for 3 records under #6677606-CN).",Multifamily,2020-08-20T00:00:00.000
6614716-CN,"Establish use as and construct new single family residence with attached garage, per plan.",Single Family/Duplex,2020-08-20T00:00:00.000
6601487-CN,"Establish use as rowhouse and construct a townhouse structure with surface parking, per plan.",Multifamily,2020-08-20T00:00:00.000
6558723-CN,"Establish use as and construct new townhouse building, per plan.",Multifamily,2020-08-20T00:00:00.000
6705246-CN,"Establish use as a single-family residence, per plans",Single Family/Duplex,2020-08-19T00:00:00.000
6695195-CN,"Establish use and construct single family dwelling with attached garage, per plan.",Single Family/Duplex,2020-08-19T00:00:00.000
6690974-CN,"Establish use as single family residence and construct single family dwelling with attached garage, per plan.",Single Family/Duplex,2020-08-19T00:00:00.000
6705229-CN,Construct east duplex (Establish use as townhomes and construct west and east two family dwellings; review and processing for two records under 6702350-CN).,Single Family/Duplex,2020-08-18T00:00:00.000
6568306-CN,"Construct single family residence and detached garage and accessory dwelling unit (DADU), per plan.",Single Family/Duplex,2020-08-18T00:00:00.000
6670865-CN,"Establish use as rowhouse and construct a townhouse building with attached garages, per plan.",Multifamily,2020-08-17T00:00:00.000
6635199-CN,"Establish use as and construct new townhouse structure, per plan.",Multifamily,2020-08-14T00:00:00.000
6585418-CN,"Construct single family dwelling, per plan. (Establish use as single family residence and rowhouse, construct single family dwelling and two-family dwelling/ review and process for 2 records under # 6585418-CN.)",Single Family/Duplex,2020-08-14T00:00:00.000
6644127-CN,"Establish use as townhouse and construct new duplex, per plan.",Single Family/Duplex,2020-08-13T00:00:00.000
6667930-CN,"Construct two unit townhouse with attached garage, per plan",Single Family/Duplex,2020-08-13T00:00:00.000
6677606-CN,"Construct west duplex, per plan. (Establish use as townhouse and construct 3 duplexes, per plan. Review & process for 3 records under #6677606-CN).",Multifamily,2020-08-13T00:00:00.000
6576825-CN,"Construct 3-unit townhome structure, per plan.",Multifamily,2020-08-13T00:00:00.000
6696832-CN,"Construct South single family residence (Bldg 2), per plan. (Establish use as and construct 2 new single family residences, per plan. Review & process for 2 records under permit #6686493-CN).",Single Family/Duplex,2020-08-12T00:00:00.000
6686493-CN,"Construct North single family residence (Bldg 1), per plan. (Establish use as and construct 2 new single family residences, per plan.  Review & process for 2 records under permit #6686493-CN)",Single Family/Duplex,2020-08-12T00:00:00.000
6637971-CN,"Establish use as rowhouses and construct a townhouse building, per plans.",Multifamily,2020-08-12T00:00:00.000
6612378-CN,Establish use and construct single family dwelling with attached garage per plan.,Single Family/Duplex,2020-08-12T00:00:00.000
6613163-CN,"Establish use and construct a detached accessory dwelling unit (DADU) to single family dwelling, per plan.",Single Family/Duplex,2020-08-11T00:00:00.000
6490849-CN,"Shoring and excavation for future construction of a residential and retail building with above and below grade parking, per plan. (Reviews for 2 permits completed under 6490849)",Multifamily,2020-08-11T00:00:00.000
6716986-CN,"Establish use as and construct new single family residence, per plan.",Single Family/Duplex,2020-08-07T00:00:00.000
6702350-CN,Construct WEST duplex (Establish use as townhomes and construct west and east two family dwellings; review and processing for two records under 6702350-CN).,Single Family/Duplex,2020-08-07T00:00:00.000
6672653-CN,"Construct a duplex, per plan (Establish use as townhouse and construct a duplex and remodel an existing single-family residence, review and process for 2 record numbers under 6672653-CN)",Single Family/Duplex,2020-08-07T00:00:00.000
6702349-CN,"Establish use as and construct new single family residence, per plan.",Single Family/Duplex,2020-08-06T00:00:00.000
6702479-CN,"Establish use as and construct new single family residence, per plan.",Single Family/Duplex,2020-08-06T00:00:00.000
6671812-CN,"Establish use and construct townhouses with surface parking, per plan.",Multifamily,2020-08-05T00:00:00.000
6666036-CN,"Establish use as and construct new single family residence, per plan.",Single Family/Duplex,2020-08-05T00:00:00.000
6693121-CN,"Establish use and construct new single family dwelling with attached garage, per plan.",Single Family/Duplex,2020-08-04T00:00:00.000
6638047-CN,"Establish use as and construct two unit duplex townhouse with surface parking, per plan",Single Family/Duplex,2020-08-04T00:00:00.000
6536991-CN,"Establish use as congregate residence and construct a multi-family building, occupy per plans",Multifamily,2020-08-04T00:00:00.000
6790107-CN,"Interior alterations to main level of SFR, subject to field inspection, STFI.",Single Family/Duplex,2020-07-31T00:00:00.000
6613076-CN,"Establish use as and construct single family residence with attached garage, per standard plan AP# 6551642.",Single Family/Duplex,2020-07-31T00:00:00.000
6613072-CN,"Establish use as and construct single family residence with attached garage, per standard plan 6551642.",Single Family/Duplex,2020-07-31T00:00:00.000
6586757-CN,"Construct mixed use apartment building with live/work units, retail and parking, occupy per plan.",Multifamily,2020-07-31T00:00:00.000
6613074-CN,"Establish use as and construct single family residence with attached garage, per standard plan. 6551642",Single Family/Duplex,2020-07-31T00:00:00.000
6613078-CN,"Establish use as and construct a single family residence, per standard plan #6551642.",Single Family/Duplex,2020-07-31T00:00:00.000
6613073-CN,"Establish use as and construct single family residence with attached garage, per standard plan 6554014.",Single Family/Duplex,2020-07-31T00:00:00.000
6613077-CN,"Establish use and construct new single family residence, per Standard Plan 6554014.",Single Family/Duplex,2020-07-31T00:00:00.000
6732825-CN,Establish use as and construct single family residence per plan.,Single Family/Duplex,2020-07-30T00:00:00.000
6696557-CN,"Establish use as and construct new single family residence, per plan.",Single Family/Duplex,2020-07-30T00:00:00.000
6621790-CN,"Construct west bldg. per plans (Establish use as and construct 2 townhouse buildings, per plans. Reviews and processing for 2 A/P's under 6621790)",Multifamily,2020-07-30T00:00:00.000
6671390-CN,"Establish use as and construct new single family residence, per plan.",Single Family/Duplex,2020-07-30T00:00:00.000
6654846-CN,"Construct east bldg. per plans (Establish use as and construct 2 townhouse buildings, per plans. Reviews and processing for 2 A/P's under 6621790)",Multifamily,2020-07-30T00:00:00.000
6673418-CN,"Construct new SE single family residence, per plan.. (Establish use as townhouse and single family construct (1) duplex and (2) single family residences / review and process for 3 records under 6600661-CN)",Single Family/Duplex,2020-07-29T00:00:00.000
6640037-CN,"Establish use as and construct a single-family residence, per plans.",Single Family/Duplex,2020-07-29T00:00:00.000
6673412-CN,"Construct new SW single family residence, per plan. (Establish use as and construct (4) single family residences / review and process for 4 records under 6600661-CN)",Single Family/Duplex,2020-07-29T00:00:00.000
6600661-CN,"Construct new West duplex building, per plan. (Establish use as townhouse and single family and construct (1) duplex and (2) single family residences / review and process for 3 records under 6600661-CN)",Single Family/Duplex,2020-07-29T00:00:00.000
6594746-CN,"Establish use as and construct single family residence with attached garage and accessory dwelling unit, per plan.",Single Family/Duplex,2020-07-28T00:00:00.000
6677578-CN,"Establish use as and construct single family residence, per plan.",Single Family/Duplex,2020-07-27T00:00:00.000
6653672-CN,"Establish use as and construct single family residence, per plan.",Single Family/Duplex,2020-07-27T00:00:00.000
6673657-CN,"Construct southwest 3-unit townhouse, per plans. (Establish use for townhouses and construct two 3-unit townhouse and one duplex. Reviews and processing for 3 construction records under 6673650-CN)",Multifamily,2020-07-24T00:00:00.000
6673650-CN,Construct one duplex (north). (Establish use for townhouses and construct two 3-unit townhouse and one duplex). Reviews and processing for 3 construction records under 6673650-CN),Multifamily,2020-07-24T00:00:00.000
6633183-CN,"Construct southeast 3-unit townhouse, per plans.  (Establish use for townhouses and construct two 3-unit townhouse and one duplex.  Reviews and processing for 3 construction records under 6673650-CN)",Multifamily,2020-07-24T00:00:00.000
6605758-CN,"Establish use as rowhouses and construct 3-unit townhouse, per plans.",Multifamily,2020-07-23T00:00:00.000
6536993-CN,"Establish use as congregate residence and construct a multi-family building, occupy per plans",Multifamily,2020-07-23T00:00:00.000
6429062-CN,"Establish use for R-3 apartment building. Construct and occupy, per plan.",Multifamily,2020-07-23T00:00:00.000
6709609-CN,"Construct new East duplex, per plan. (Establish use as rowhouse and townhouse and construct 2 new duplexes, per plan. Review & process for 2 records under permit #6700802-CN).",Single Family/Duplex,2020-07-22T00:00:00.000
6700802-CN,"Construct new West duplex, per plan. (Establish use as rowhouse and townhouse and construct 2 new duplexes, per plan.  Review & process for 2 records under permit #6700802-CN).",Single Family/Duplex,2020-07-22T00:00:00.000
6594732-CN,"Establish use as and construct a single-family residence with attached garage, per plan. (Standard plan # 6693748-SP)",Single Family/Duplex,2020-07-22T00:00:00.000
6715487-CN,"Establish use as single family residence and construct new single family residence and new detached garage, per plans.",Single Family/Duplex,2020-07-21T00:00:00.000
6647596-CN,"Establish use as and construct single family residence, per plan.",Single Family/Duplex,2020-07-21T00:00:00.000
6680084-CN,"Construct South single-family residence, per plan. (Establish use as and construct 2 single-family residences with attached garages, Review and process for 2 records under # 6680084-CN)",Single Family/Duplex,2020-07-20T00:00:00.000
6720332-CN,"Establish use as single family residence and construct one family dwelling, per plans.  Project includes removal of existing detached garage.",Single Family/Duplex,2020-07-17T00:00:00.000
6706152-CN,"Establish use as and construct new single family residence, per plan.",Single Family/Duplex,2020-07-16T00:00:00.000
6672121-CN,"Construct new 3-unit townhouse (north), per plan. [Establish use as and construct (2) 3-unit townhouse buildings, per plan. Processing for two construction records under 6672121.]",Multifamily,2020-07-16T00:00:00.000
6683148-CN,"Construct new 3-unit townhouse (south), per plan. [Establish use as and construct (2) 3-unit townhouse buildings, per plan. Processing for two construction records under 6672121.]",Multifamily,2020-07-16T00:00:00.000
6708758-CN,"Establish use as and construct single family residence with detached accessory dwelling unit (DADU), per plan.(Establish Standard Plan, 1st review done under 6708509-CN)",Single Family/Duplex,2020-07-15T00:00:00.000
6631823-CN,"Construct duplex with surface parking, per plan.  Remove detached garage. (Establish use as single family residence and duplex and construct 1 single family dwelling and 1 duplex. Review & process for 2 AP's under AP# 6622979.)",Single Family/Duplex,2020-07-15T00:00:00.000
6704829-CN,"Establish use as and construct new single family residence, per plan.",Single Family/Duplex,2020-07-14T00:00:00.000
6614206-CN,"Establish use as rowhouse and construct new townhouse building, per plan.",Multifamily,2020-07-14T00:00:00.000
6668135-CN,"Establish use as rowhouses and construct 7-unit townhouse, per plans.",Multifamily,2020-07-10T00:00:00.000
6594725-CN,"Establish use as and construct single family residence, per Standard Plan (AP# 6594717).",Single Family/Duplex,2020-07-10T00:00:00.000
6646280-CN,"Establish use as and construct new single-family residence, per plan.",Single Family/Duplex,2020-07-09T00:00:00.000
6685992-CN,"Establish use as and construct a single-family residence, per plan.",Single Family/Duplex,2020-07-09T00:00:00.000
6655064-CN,"Establish use as and construct single family residence, per plan.",Single Family/Duplex,2020-07-09T00:00:00.000
6711560-CN,"Establish use as and construct single family residence on portion of existing foundation, and construct detached accessory dwelling unit (DADU), per plan.",Single Family/Duplex,2020-07-07T00:00:00.000
6599446-CN,"Construct a townhouse-style apartment building, occupy per plans",Multifamily,2020-07-07T00:00:00.000
6699218-CN,"Construct middle single family residence, per plan (Establish use as and construct 3 new single family residences. Review and process for 3 record numbers under 6680702-CN).",Single Family/Duplex,2020-07-01T00:00:00.000
6699220-CN,"Construct east single family residence, per plan (Establish use as and construct 3 new single family residences. Review and process for 3 record numbers under 6680702-CN).",Single Family/Duplex,2020-07-01T00:00:00.000
6680702-CN,"Construct west single family residence, per plan (Establish use as and construct 3 new single family residences. Review and process for 3 record numbers under 6680702-CN).",Single Family/Duplex,2020-07-01T00:00:00.000
6601213-CN,"Establish use as and construct a single-family residence and alterations to convert existing SFR to a detached accessory dwelling unit (DADU), per plans.",Single Family/Duplex,2020-06-29T00:00:00.000
6674524-CN,"Establish use as rowhouses and construct a duplex, per plan",Single Family/Duplex,2020-06-26T00:00:00.000
6674523-CN,"Establish use as 2 unit townhouse and construct duplex, per plan.",Single Family/Duplex,2020-06-26T00:00:00.000
6632686-CN,"Establish use as rowhouse and construct townhouse structure, per plan.",Multifamily,2020-06-26T00:00:00.000
6691263-CN,"Establish use as and construct a single-family residence existing shed to be removed, per plans",Single Family/Duplex,2020-06-25T00:00:00.000
6650943-CN,"Construct east single family dwelling, per plan. (Establish use as single family residence and construct 3 single family dwellings/ review and process for 3 AP's under # 6628130.)",Single Family/Duplex,2020-06-25T00:00:00.000
6601705-CN,"Remove accessory building, establish use as rowhouse and construct 3-unit townhouse, per plan.",Multifamily,2020-06-25T00:00:00.000
6679022-CN,"Establish use as and construct single-family residence with accessory dwelling unit (ADU) and attached garage, per plan.",Single Family/Duplex,2020-06-24T00:00:00.000
6676793-CN,"Construct 3-unit townhouse, per plan. (Establish use as rowhouse and townhouse and construct a two-family dwelling and a 3-unit townhouse, review and processing for 2 records under 6671643-CN.)",Multifamily,2020-06-24T00:00:00.000
6682530-CN,"Establish use as rowhouses and construct townhouses, per plans.",Multifamily,2020-06-24T00:00:00.000
6671643-CN,"Construct two-family dwelling, per plan. (Establish use as rowhouse and townhouse and construct a two-family dwelling and a 3-unit townhouse, review and processing for 2 records under 6671643-CN.)",Multifamily,2020-06-24T00:00:00.000
6601485-CN,"Establish use as rowhouse and construct 7-unit townhouse structure, per plan.",Multifamily,2020-06-23T00:00:00.000
6594493-CN,Establish use as and construct a new single family residence with attached garage per plan.,Single Family/Duplex,2020-06-23T00:00:00.000
6607581-CN,"Establish use as single family residence and construct single family dwelling, per plan.",Single Family/Duplex,2020-06-22T00:00:00.000
6725911-CN,"Construct alterations to remove existing carport in rear yard, replace concrete slab, and construct 12' x 17' garage with bathroom and sink in single family dwelling. Subject to field inspection (STFI).",Single Family/Duplex,2020-06-18T00:00:00.000
6685452-CN,"Establish use as and construct new single family residence, per plan.",Single Family/Duplex,2020-06-18T00:00:00.000
6685451-CN,"Establish use as  and construct single family dwelling with attached garage, per plan.",Single Family/Duplex,2020-06-18T00:00:00.000
6628846-CN,"Construct new West townhouse building, per plan (Establish use as and construct (2) new townhouse buildings review and process for 2 AP's under permit 6628846",Multifamily,2020-06-18T00:00:00.000
6600030-CN,"Construct retaining wall accessory to a single-family residence, per plan.",Single Family/Duplex,2020-06-17T00:00:00.000
6557819-CN,"Establish use as and construct a single-family residence, per plans.",Single Family/Duplex,2020-06-17T00:00:00.000
6690165-CN,"Establish use and Construct new single-family residence, per plan.",Single Family/Duplex,2020-06-16T00:00:00.000
6705205-CN,"Construct NORTH SINGLE FAMILY DWELLING, per plan  (Establish use as townhouse and single family residence and construct South Two-family dwelling and North single family dwelling.  Review and process for two records under 6682524-CN).",Single Family/Duplex,2020-06-11T00:00:00.000
6687910-CN,"Establish use as and construct new single family residence, per plan.",Single Family/Duplex,2020-06-11T00:00:00.000
6695832-CN,"Establish use and construct new single-family residence, per plan.",Single Family/Duplex,2020-06-10T00:00:00.000
6639033-CN,"Construct middle single family dwelling, per plan. (Establish use as single family residence and construct 3 single family dwellings / review and process for 3 AP's under # 6582649).",Single Family/Duplex,2020-06-10T00:00:00.000
6639034-CN,"Construct west single family dwelling, per plan. (Establish use as single family residence and construct 3 single family dwellings / review and process for 3 AP's under # 6582649).",Single Family/Duplex,2020-06-10T00:00:00.000
6593137-CN,"Establish use as and construct new single family residence on vacant lot, per plan.",Single Family/Duplex,2020-06-09T00:00:00.000
6583347-CN,"Establish use as rowhouse and construct 6 units Rowhouse structure with surface parking, per plan.",Single Family/Duplex,2020-06-09T00:00:00.000
6684957-CN,"Establish use as and construct new single family residence, per plan.",Single Family/Duplex,2020-06-08T00:00:00.000
6392932-CN,New 21 unit,Multifamily,2020-06-08T00:00:00.000
6364639-CN,Construct west apartment building this permit. [Construct (2) apartment buildings per plan]. Process and routing for (2) A/P's under 6364639.,Multifamily,2020-06-08T00:00:00.000
6632697-CN,"Establish use as rowhouse and construct a townhouse structure, per plan.",Multifamily,2020-06-04T00:00:00.000
6685230-CN,"Construct West duplex townhouse, per plan. (Construct West duplex and East three unit townhouses.  Review and process for two records under #6685230).",Multifamily,2020-06-04T00:00:00.000
6633419-CN,"Establish use as rowhouse and construct a townhouse building with surface parking, per plan.",Multifamily,2020-06-04T00:00:00.000
6626609-CN,"Establish use as and construct a single-family residence, per plans",Single Family/Duplex,2020-06-03T00:00:00.000
6672523-CN,"Construct new south townhouse building, per plan. [Establish use as rowhouse and townhouse and construct (2) 3-unit townhouse buildings, per plan. Review and processing for (2) Construction Records under 6672523-CN.]",Multifamily,2020-06-01T00:00:00.000
6666408-CN,"Establish use as and construct a single-family residence with attached garages, per plan.",Single Family/Duplex,2020-06-01T00:00:00.000
6707066-CN,"Establish use as rowhouse and construct new duplex building, per plan.",Single Family/Duplex,2020-05-29T00:00:00.000
6735908-CN,"Establish use as and construct new single family residence, per plan.",Single Family/Duplex,2020-05-29T00:00:00.000
6649357-CN,"Establish use as townhouses and Construct duplex, per plan.",Single Family/Duplex,2020-05-28T00:00:00.000
6709594-CN,"Establish use as and construct single family residence on portion of existing foundation, per plan.",Single Family/Duplex,2020-05-27T00:00:00.000
6622147-CN,"Establish use as and construct new single family residence, per plan.",Single Family/Duplex,2020-05-27T00:00:00.000
6668292-CN,"Construct new North duplex, per plan. [Establish use as rowhouse and townhouse and construct new 3-unit townhouse and new duplex, per plan. Review and process for 2 Record IDs under #6668292.]",Multifamily,2020-05-27T00:00:00.000
6623600-CN,"Construct West townhouse, per plan (Establish use as and construct (2) townhouse building, review and process for 2 AP's under permit 6623600)",Multifamily,2020-05-26T00:00:00.000
6653922-CN,"Construct East townhouse, per plan (Establish use as and construct (2) townhouse buildings, review and process for 2 AP's under permit 6623600)",Multifamily,2020-05-26T00:00:00.000
